 101  57.0  -77.0 10 RICHMOND GULF QUE.
 6000.0  200.0   -2.0    1.0
 7000.0  200.0   -6.0    1.0
 243  54.3   11.1  6 RODBYHAVN DEN.                
  500.0  200.0    -.2    1.0
 1300.0  200.0    -.5    1.0
 3200.0  200.0   -1.3    1.0
 4500.0  200.0   -2.4    1.0
 5900.0  200.0   -4.2    1.0
 7600.0  300.0  -12.5    1.8
 245  57.4   -7.3  1 N. UIST SCOT.                 
 5700.0  200.0    -.7    1.0
 246  56.1   -5.3  3 LOCH FYNE SCOT.               
 6200.0  200.0    4.3    1.0
11700.0  400.0    -.6    1.0
12400.0  400.0     .5    1.0
 247  56.1   -3.8 10 FIRTH OF FORTH SCOT.          
 1000.0  200.0     .6    1.0
 2000.0  200.0    3.4    1.0
 3000.0  200.0    3.7    1.0
 4000.0  200.0    8.0    1.1
 5000.0  200.0   10.0    1.4
 6000.0  200.0   12.0    1.8
 7000.0  200.0   11.0    1.6
 8000.0  300.0    7.0    1.0
 9000.0  300.0    5.0    1.0
10000.0  400.0    8.0    1.1
 248  56.0   -6.2  5 ORONSAY SCOT.                 
 5900.0  200.0   11.0    1.6
 7100.0  200.0    1.0    1.0
 7400.0  200.0    1.0    1.0
 8200.0  300.0   11.7    1.7
11800.0  400.0   20.0    3.0
 249  55.9   -4.4  4 PORT GLASGOW SCOT.            
11100.0  400.0    2.0    1.0
11900.0  400.0    5.2    1.0
12300.0  400.0    6.1    1.0
13500.0  500.0    6.1    1.0
 250  55.4   -4.7  2 AYR SCOT.                     
 9000.0  300.0    1.8    1.0
 9600.0  300.0    6.1    1.0
 251  54.9   -4.4  2 THE MACHARS SCOT.             
 2000.0  200.0    5.2    1.0
 6500.0  200.0    6.4    1.0
 252  54.7   -1.2 12 TEES R. ENG.                  
 1000.0  200.0   -2.0    1.0
 2000.0  200.0     .0    1.0
 3000.0  200.0   -4.0    1.0
 4000.0  200.0    5.0    1.0
 5000.0  200.0   -8.0    1.1
 6000.0  200.0  -12.0    1.8
 7000.0  200.0  -15.0    2.2
 8000.0  300.0  -30.0    4.5
 9000.0  300.0  -43.0    6.4
10000.0  400.0  -52.0    7.7
11000.0  400.0  -57.0    8.5
12000.0  400.0  -58.0    8.6
 253  53.6    -.4  9 HUMBER R. ENG.                
 2600.0  200.0   -1.0    1.0
 2800.0  200.0     .3    1.0
 3300.0  200.0     .2    1.0
 3500.0  200.0   -3.5    1.0
 3900.0  200.0   -1.8    1.0
 5200.0  200.0   -2.5    1.0
 6200.0  200.0   -2.4    1.0
 6700.0  200.0   -9.5    1.4
 7000.0  200.0  -11.6    1.7
 254  54.2   -3.2  7 CUMBERLAND ENG.               
  600.0  200.0    3.0    1.0
 2200.0  200.0    3.0    1.0
 3600.0  300.0    2.0    1.0
 6200.0  300.0    2.0    1.0
 6800.0  300.0   -5.0    1.0
 7900.0  400.0  -10.0    1.4
 9200.0  400.0  -21.0    3.1
 255  53.5   -3.2  8 MERSEYSIDE ENG.               
 1000.0  200.0    1.0    1.0
 2000.0  200.0    1.0    1.0
 3000.0  200.0     .0    1.0
 4000.0  200.0   -1.0    1.0
 5000.0  200.0   -1.0    1.0
 6000.0  200.0   -3.0    1.0
 7000.0  200.0   -7.0    1.0
 8000.0  300.0  -14.0    2.1
 265  54.3   -5.8  8 BELFAST N. IRE.               
 2700.0  200.0    -.7    1.0
 3400.0  200.0   -1.0    1.0
 5700.0  200.0     .5    1.0
 6600.0  300.0    1.0    1.0
 7200.0  200.0    3.0    1.0
 7700.0  400.0   -1.2    1.0
 8200.0  300.0    -.5    1.0
11700.0  400.0   -1.3    1.0
 266  55.3   -7.0  1 LOUGH FOYLE N. IRE.           
 7000.0  200.0    4.0    1.0
 270  65.5  -21.8  2 STADARHOLSKIRKJA ICELAND      
 3100.0  200.0    3.0    1.0
12800.0  500.0   20.0    3.0
 271  64.5  -21.8  2 AKRANES ICELAND               
12100.0  400.0   28.0    4.2
12800.0  500.0   33.0    4.9
 272  64.4  -21.8  4 REYKJAVIK ICELAND             
10400.0  400.0    4.0    1.0
11300.0  400.0    2.0    1.0
12400.0  400.0   25.0    3.7
12900.0  500.0    2.0    1.0
 273  77.4   15.0  4 HORNSUND SPITS.               
 6500.0  200.0   12.0    1.8
 7300.0  200.0    2.0    1.0
 9400.0  300.0   10.0    1.4
10300.0  400.0   29.0    4.3
 274  78.2   14.0  4 KAPP LINNE SPITS.             
 5000.0  200.0    7.0    1.0
 6000.0  200.0    9.0    1.3
 6500.0  200.0   10.0    1.4
 9000.0  300.0   24.0    3.6
 275  78.4   16.5  4 BILLEFJORDEN SPITS.           
 3200.0  200.0    4.0    1.0
 6500.0  200.0   13.0    1.9
 8900.0  300.0   26.0    3.9
 9200.0  300.0   55.0    8.2
 276  78.7   11.2  5 PRINS KARLS FORLAND SPITS.    
 6500.0  200.0    5.0    1.0
10500.0  400.0    3.3    1.0
11200.0  400.0   12.2    1.8
13400.0  500.0   18.4    2.7
13700.0  500.0   24.8    3.7
 277  78.9   11.6  8 BROGGERHALVOYA SPITS.         
 6000.0  200.0    5.0    5.0
 9400.0  300.0    4.0    3.0
 9500.0  300.0   14.0    3.0
 9700.0  300.0   30.0    4.5
 9900.0  400.0    8.0    3.0
10100.0  400.0   23.0    3.4
11000.0  400.0   37.0    5.5
11900.0  400.0   37.0    5.5
 278  79.8   16.8  4 SORGFJORDEN SPITS.            
 6500.0  200.0    8.7    1.3
 8600.0  300.0   30.0    4.5
10000.0  400.0   25.0    3.7
10900.0  400.0   33.0    4.9
 279  80.0   19.0  8 MURCHISONFJORDEN SPITS.       
 3000.0  200.0    2.0    1.0
 4000.0  200.0    3.0    1.0
 5000.0  200.0    5.0    1.0
 6000.0  200.0    7.0    1.0
 6500.0  200.0   10.0    1.4
 7000.0  200.0   10.0    1.4
 8000.0  300.0   14.0    2.1
 9000.0  300.0   29.0    4.3
 280  78.2   20.5  6 WILHELMOYA SPITS.             
 3000.0  200.0    7.0    1.0
 4000.0  200.0   10.0    1.4
 5000.0  200.0   13.0    1.9
 6000.0  200.0   20.0    3.0
 6800.0  200.0   28.0    4.2
 7000.0  200.0   28.0    4.2
 281  78.6   22.2  2 BARENTSOYA SPITS.             
 6500.0  200.0   30.0    4.5
 8400.0  300.0   48.0    7.1
 282  79.0   28.0  7 KONG KARLS LAND SPITS.        
 2000.0  200.0   11.0    1.6
 3000.0  200.0   16.0    2.4
 4000.0  200.0   22.0    3.3
 5000.0  200.0   27.0    4.0
 6000.0  200.0   31.0    4.6
 6500.0  200.0   34.0    5.0
 9000.0  300.0   70.0   10.4
 283  77.3   22.6 10 EDGEOYA SPITS.                
 1000.0  200.0    2.0    1.0
 2000.0  200.0    6.0    1.0
 3000.0  200.0   10.0    1.4
 4000.0  200.0   17.0    2.5
 5000.0  200.0   23.0    3.4
 6000.0  200.0   29.0    4.3
 6500.0  200.0   33.0    4.9
 7000.0  200.0   35.0    5.2
 8000.0  300.0   41.0    6.1
 9000.0  300.0   50.0    7.4
 284  76.6   25.0  3 HOPEN IS. SPITS.              
 5000.0  200.0   22.0    3.3
 6500.0  200.0   34.0    5.0
 9000.0  300.0   50.0    7.4
 285  80.8   48.0  2 ZEMLYA GEORGE FJL.            
 1500.0  200.0    5.0    1.0
 5500.0  200.0   17.5    2.6
 286  80.5   56.0  2 OSTROV M'CLINTOCK FJL.        
 4800.0  200.0   10.0    1.4
 7500.0  300.0   26.0    3.9
 301  45.5  -76.0  3 OTTAWA ONT.                   
 9000.0  300.0   54.0   26.0
10000.0  400.0  100.0   20.0
11000.0  400.0  148.0   22.1
 302  45.3  -74.6  1 CORNWALL ONT.                 
 9900.0  300.0  107.0   16.0
 303  45.5  -74.0  5 MONTREAL QUE.                 
 7000.0  200.0    5.0    5.0
 8000.0  300.0   37.0   10.0
 9000.0  300.0   80.0   11.9
10000.0  400.0  123.0   18.4
11000.0  400.0  166.0   25.0
 304  48.0  -69.0  5 RIVIERE DU LOUP QUE.          
 7000.0  200.0   10.0   10.0
 8000.0  300.0   27.0   15.0
 9000.0  300.0   50.0   20.0
10000.0  400.0   75.0   25.0
11000.0  400.0  107.0   35.0
 305  48.5  -68.5  6 RIMOUSKI QUE.                 
 2000.0  200.0    3.0    2.0
 9000.0  300.0   33.0   10.0
10000.0  400.0   47.0   15.0
11000.0  400.0   65.0   20.0
12000.0  400.0   98.0   40.0
13000.0  500.0  124.0   50.0
 306  49.0  -66.0  7 GASPE QUE.                    
 6000.0  200.0    5.0    1.0
 7000.0  200.0    6.0    1.0
 8000.0  300.0   12.0    1.8
 9000.0  300.0   18.0    2.7
10000.0  400.0   28.0    4.2
11000.0  400.0   37.0    5.5
12000.0  400.0   50.0    7.4
 307  50.2  -65.5  4 MOISIE QUE.                   
 6000.0  200.0   21.0    3.1
 7000.0  200.0   31.0    4.6
 8000.0  300.0   48.0    7.1
 9000.0  300.0   70.0   10.4
 308  50.0  -60.0  5 N. GULF OF ST. LAWRENCE QUE.  
 2000.0  200.0    9.0    1.3
 4000.0  200.0   25.0    3.7
 6000.0  200.0   43.0    6.4
 8000.0  300.0   98.0   14.6
10000.0  400.0  157.0   23.5
 309  51.5  -56.5 12 NW. NEWFOUNDLAND              
 1000.0  200.0    1.0    1.0
 2000.0  200.0    2.5    1.0
 3000.0  200.0    4.0    2.0
 4000.0  200.0    6.0    2.0
 5000.0  200.0    8.0    3.0
 6000.0  200.0   13.0    3.0
 7000.0  200.0   20.0    5.0
 8000.0  300.0   30.0    8.0
 9000.0  300.0   41.0   14.0
10000.0  400.0   57.0   13.0
11000.0  400.0   75.0   15.0
12000.0  400.0   98.0   18.0
 310  48.0  -59.0  4 ST. GEORGE'S BAY NFLD.        
 4000.0  200.0   -4.0    3.0
 7000.0  200.0   -4.0    4.0
12000.0  400.0   26.0    5.0
13000.0  500.0   37.0    5.5
 311  47.0  -64.0  6 TIGNISH PEI.                  
 2000.0  200.0   -3.0    1.0
 3000.0  200.0   -6.0    3.0
 8000.0  300.0   -8.0   15.0
10000.0  400.0    1.0   11.0
12000.0  400.0   12.0    9.0
13000.0  500.0   20.0    9.0
 312  46.5  -63.5  9 FRENCH R. PEI.                
 1000.0  200.0   -3.0    2.0
 2000.0  200.0   -8.0    3.0
 3000.0  200.0  -12.0    4.0
 4000.0  200.0  -17.0    5.0
 5000.0  200.0  -21.0    7.0
 6000.0  200.0  -26.0    9.0
 7000.0  200.0  -30.0   10.0
 8000.0  300.0  -33.0   12.0
10000.0  400.0  -35.0   13.0
 313  46.3  -63.3  5 CHARLOTTETOWN PEI.            
 1000.0  200.0   -1.2    1.0
 1500.0  200.0   -2.4    1.6
 2000.0  200.0   -3.2    2.4
 3000.0  200.0   -6.4    4.0
 4000.0  200.0  -10.0    5.0
 314  46.0  -60.0  7 CAPE BRETON IS. NS.           
 2000.0  200.0   -5.0    1.0
 4000.0  200.0   -8.0    1.1
 6000.0  200.0  -21.0    3.1
 8000.0  300.0  -25.0    3.7
10000.0  400.0  -29.0    4.3
12000.0  400.0  -50.0    7.4
14000.0  500.0  -67.0   10.0
 315  45.0  -63.0  5 CHEZZETCOOK NS.               
 1000.0  200.0   -2.0    1.0
 2000.0  200.0   -8.0    1.1
 3600.0  200.0   -9.0    1.3
 5100.0  200.0  -12.0    1.8
 6700.0  200.0  -13.0    1.9
 316  44.7  -63.7  7 HALIFAX NS.                   
 2000.0  200.0   -5.0    1.0
 4000.0  200.0   -8.0    1.1
 6000.0  200.0  -21.0    3.1
 8000.0  300.0  -25.0    3.7
10000.0  400.0  -29.0    4.3
12000.0  400.0  -33.0    4.9
14000.0  500.0  -33.0    4.9
 317  44.5  -64.3  2 LUNENBURG BAY NS.             
 5800.0  200.0  -22.0    3.3
 7100.0  200.0  -28.0    4.2
 318  43.9  -66.0  4 YARMOUTH NS.                  
 1400.0  200.0   -2.0    1.0
 2500.0  200.0   -3.3    1.0
 2600.0  200.0   -4.5    1.0
 2700.0  200.0   -5.7    1.0
 319  45.0  -65.0  9 BAY OF FUNDY NS.              
 1300.0  200.0   -2.3    1.0
 2500.0  200.0   -4.0    1.0
 3100.0  200.0   -6.0    1.0
 3600.0  200.0   -8.5    1.2
 5000.0  200.0  -13.0    2.5
 6000.0  200.0  -15.0    2.5
11000.0  400.0  -14.0    6.0
12000.0  400.0    5.0    9.0
13000.0  500.0   29.0   11.0
 320  45.3  -66.0  7 ST. JOHN NB.                  
 2000.0  200.0   -5.0    1.0
 4000.0  200.0   -8.0    1.1
 6000.0  200.0  -17.0    2.5
 8000.0  300.0  -13.0    1.9
10000.0  400.0   -4.0    1.0
12000.0  400.0   17.0    2.5
14000.0  500.0   75.0   11.2
 321  44.5  -67.7 13 ADDISON ME.                   
  800.0  200.0    -.4    1.0
 1900.0  200.0   -1.4    1.0
 3200.0  200.0   -3.0    1.0
 4100.0  200.0   -4.0    1.0
 9500.0  900.0  -65.0    9.7
10500.0  500.0  -53.0    7.9
11700.0  500.0   27.0   15.0
13000.0  500.0   72.0   10.7
 1000.0  200.0   -2.0    1.5
 2000.0  200.0   -3.5    2.0
 3000.0  200.0   -4.0    2.0
 4000.0  200.0   -4.5    1.5
12000.0  400.0   60.0   40.0
 322  43.1  -70.7  9 ISLES OF SHOALS NH.           
 1000.0  200.0    -.7    1.0
 2000.0  200.0   -1.5    1.0
 3000.0  200.0   -3.0    1.5
 4000.0  200.0   -4.5    1.5
 5000.0  200.0   -7.0    2.0
 6000.0  200.0   -9.0    2.0
 7000.0  200.0  -12.0    2.0
10800.0  400.0  -31.0    4.6
12100.0  400.0  -31.0    4.6
 323  42.8  -70.8  8 BOSTON MA.                    
 2500.0  200.0   -1.6    1.0
 3400.0  200.0   -3.0    1.0
 3700.0  200.0   -4.0    1.0
 4200.0  200.0   -4.9    1.0
 4900.0  200.0   -7.6    1.1
 6300.0  200.0  -12.5    1.8
11000.0  400.0   -8.0    3.0
12000.0  400.0   -3.0    3.0
 324  41.7  -70.3  4 BARNSTABLE MA.                
 1000.0  200.0   -1.0    1.0
 2000.0  200.0   -2.4    1.0
 3000.0  200.0   -5.0    1.0
 4000.0  200.0   -7.2    1.0
 325  41.3  -70.0  5 PLUM IS. MA.                  
 2700.0  200.0   -1.6    1.0
 4200.0  200.0   -3.3    1.0
 5200.0  200.0   -5.0    1.0
 6200.0  200.0   -7.6    1.1
 8200.0  300.0  -13.0    1.9
 401  54.0   10.6  7 LUBECK WG.                    
 1000.0  200.0   -2.0    1.0
 2000.0  200.0   -3.0    1.0
 3000.0  200.0   -4.0    1.0
 4000.0  200.0   -5.0    1.0
 5000.0  200.0   -6.0    1.0
 6000.0  200.0   -9.0    1.3
 7000.0  200.0  -15.0    2.2
 402  54.6   10.2  4 KEIL BAY WG.                  
 3100.0  200.0   -1.2    1.0
 7800.0  300.0  -19.0    2.8
 9800.0  300.0  -31.0    4.6
11900.0  400.0  -29.0    4.3
 513 -53.7  -68.0  1 LA MISION ARGENTINA           
 7900.0  300.0   -4.3    1.0
 567 -62.2  -58.8  5 PALMER PEN. ANTARCTICA        
  600.0  200.0     .5    1.0
 1200.0  200.0    5.0    1.0
 1400.0  200.0    7.6    1.1
 3100.0  200.0   10.0    1.4
 7700.0  300.0    4.3    1.0
 568 -69.0   39.6  1 OLAF LAND ANTARCTICA          
 3800.0  200.0    3.5    1.0
 569 -66.3  110.5  1 KNOX COAST ANTARCTICA         
 6000.0  300.0   19.8    2.9
 570 -77.7  163.4  8 McMURDO SOUND ANTARCTICA      
 4600.0  200.0    2.9    1.0
 5200.0  200.0    4.0    1.0
 5400.0  200.0    8.1    1.2
 5800.0  200.0    7.5    1.1
 6100.0  200.0    5.7    1.0
 6200.0  200.0    4.5    1.0
 6400.0  200.0    6.0    1.0
 6700.0  200.0   21.6    3.2
 604  60.4 -145.0  3 COPPER R. AK.                 
  700.0  200.0   -3.2    1.0
 1400.0  200.0   -3.0    1.0
 1700.0  200.0   -4.5    1.0
 605  58.7 -137.7  4 YAKUTAT AK.                   
 1200.0  200.0    7.1    1.0
 2800.0  300.0   29.5    4.4
 8100.0  400.0   88.3   13.2
10800.0  400.0   63.0    9.4
 606  58.2 -134.0  7 JUNEAU AK.                    
 5000.0  200.0    3.0    1.0
 6000.0  200.0    6.0    1.0
 7000.0  200.0   16.0    2.4
 8000.0  300.0   23.0    3.4
 9000.0  300.0   29.0    4.3
10000.0  400.0   45.0    6.7
11000.0  400.0   62.0    9.2
 607  55.6 -131.6  2 KETCHIKAN AK.                 
  500.0  200.0    1.0    1.0
 8400.0  300.0   10.0    1.4
 608  54.3 -130.2  3 PRINCE RUPERT BC.             
 5000.0  200.0    4.0    1.0
 6000.0  200.0   13.0    1.9
 7000.0  200.0   32.0    4.8
 609  53.9 -132.7  9 QUEEN CHARLOTTE ISLANDS BC.   
 1000.0  200.0    2.0    1.0
 2000.0  200.0    3.0    1.0
 3000.0  200.0    4.0    1.0
 4000.0  200.0    8.0    1.1
 5000.0  200.0   11.0    1.6
 6000.0  200.0   11.0    1.6
 7000.0  200.0   11.0    1.6
 8000.0  300.0   12.0    1.8
 9000.0  300.0   13.0    1.9
 610  51.0 -128.0  8 QUEEN CHARLOTTE SOUND BC.     
 4000.0  200.0   -3.0    1.0
 5000.0  200.0   -3.0    1.0
 6000.0  200.0   -2.0    1.0
 7000.0  200.0    1.0    1.0
 8000.0  300.0    5.0    1.0
 9000.0  300.0   10.0    1.4
10000.0  400.0   18.0    2.7
11000.0  400.0   32.0    4.8
 611  50.6 -127.0  2 N. VANCOUVER IS. BC.          
12300.0  400.0   53.0    7.9
12900.0  500.0   17.0    2.5
 612  49.0 -124.0  6 E. VANCOUVER IS. BC.          
 4600.0  200.0   15.0    2.2
 8700.0  300.0    1.5    1.0
11500.0  400.0   37.0    5.5
11900.0  400.0   25.0    3.7
12200.0  400.0   49.0    7.3
12500.0  500.0  154.0   23.0
 613  48.5 -123.3  5 VICTORIA BC.                  
 5400.0  200.0    2.0    1.0
 9300.0  300.0    1.0    1.0
11700.0  400.0    2.0    1.0
12400.0  400.0   17.0    2.5
12700.0  500.0   28.0    4.2
 614  49.2 -123.0  5 FRAZER LOWLANDS BC.           
 7300.0  200.0    9.0    1.3
 9400.0  300.0   11.0    1.6
11000.0  400.0   38.0    5.6
11500.0  400.0   92.0   13.7
11900.0  400.0  132.0   19.7
 615  48.8 -122.5  4 WHATCOM WA.                   
10300.0  400.0   31.0    4.6
11600.0  400.0   77.0   11.5
11900.0  400.0   97.0   14.5
13000.0  500.0   82.0   12.2
 624 -52.8  -70.8  4 BAHIA GENTE GRANDE CHILE      
 3900.0  200.0    3.0    1.0
 4600.0  200.0    2.0    1.0
 5600.0  200.0    3.0    1.0
 5900.0  200.0    3.4    1.0
 625 -53.7  -71.2  2 PUERTO DEL HAMBRE CHILE       
 4000.0  200.0    3.5    1.0
 8000.0  300.0    2.1    1.0
 626 -54.9  -68.5  2 BEAGLE CHANNEL CHILE          
 1500.0  200.0     .7    1.0
 4600.0  200.0    3.6    1.0
 627  71.5  136.0  2 YANA R. SIBERIA               
 2000.0  200.0    5.5    1.0
 3600.0  300.0    2.0    1.0
 662 -42.0  174.0 10 WAIRAU VALLEY NZ.             
 1000.0  200.0     .5    1.0
 2000.0  200.0    1.0    1.0
 3000.0  200.0    1.5    1.0
 4000.0  200.0    2.0    1.0
 5000.0  200.0     .0    1.0
 6000.0  200.0   -2.0    1.0
 7000.0  200.0   -5.0    1.0
 8000.0  300.0  -10.0    3.0
 9000.0  300.0  -17.0    7.0
10000.0  400.0  -32.0    5.0
